,time (ms),velocity (rpm),target (rpm)
411,4224,31.29,95
412,4234,30.84,95
413,4244,30.68,95
414,4254,30.35,95
415,4264,30.28,95
416,4274,30.23,95
417,4284,29.98,95
418,4294,29.57,95
419,4304,29.23,95
420,4314,29.17,95
421,4324,29.11,95
422,4334,28.86,95
423,4344,28.45,95
424,4354,28.33,95
425,4364,28.22,95
426,4374,28.14,95
427,4384,27.86,95
428,4394,27.64,95
429,4404,27.46,95
430,4414,27.31,95
431,4424,27.19,95
432,4434,27.09,95
433,4444,26.8,95
434,4454,26.57,95
435,4464,26.17,95
436,4474,26.06,95
437,4484,25.75,95
438,4494,25.72,95
439,4504,25.48,95
440,4514,25.28,95
441,4524,25.13,95
442,4534,25,95
443,4544,24.9,95
444,4554,24.6,95
445,4564,24.36,95
446,4574,24.17,95
447,4584,24.01,95
448,4594,23.89,95
449,4604,23.78,95
450,4614,23.49,95
451,4624,23.25,95
452,4634,23.06,95
453,4644,22.9,95
454,4654,22.57,95
455,4664,22.29,95
456,4674,22.07,95
457,4684,22.1,95
458,4694,21.92,95
459,4704,21.76,95
460,4714,21.43,95
461,4724,21.17,95
462,4734,21.16,95
463,4744,21.15,95
464,4754,20.93,95
465,4764,20.55,95
466,4774,20.24,95
467,4784,20.19,95
468,4794,20.16,95
469,4804,20.13,95
470,4814,19.9,95
471,4824,19.71,95
472,4834,19.55,95
473,4844,19.43,95
474,4854,19.12,95
475,4864,18.87,95
476,4874,18.66,95
477,4884,18.71,95
478,4894,18.53,95
479,4904,18.39,95
480,4914,18.07,95
481,4924,17.81,95
482,4934,17.59,95
483,4944,17.42,95
484,4954,17.28,95
485,4964,17.09,95
486,4974,16.74,95
487,4984,16.52,95
488,4994,16.2,95
489,5004,16.15,95
490,5014,16.04,95
491,5024,15.95,95
492,5034,15.66,95
493,5044,15.44,95
494,5054,15.25,95
495,5064,15.31,95
496,5074,15.15,95
497,5084,15.01,95
498,5094,14.7,95
499,5104,14.44,95
500,5114,14.24,95
501,5124,14.07,95
502,5134,13.93,95
503,5144,13.82,95
504,5154,13.73,95
505,5164,13.65,95
506,5174,13.59,95
507,5184,13.54,95
508,5194,13.3,95
509,5204,13.1,95
510,5214,12.72,95
511,5224,12.63,95
512,5234,12.55,95
513,5244,12.49,95
514,5254,12.23,95
515,5264,12.02,95
516,5274,11.85,95
517,5284,11.71,95
518,5294,11.6,95
519,5304,11.51,95
520,5314,11.43,95
521,5324,11.17,95
522,5334,10.95,95
523,5344,10.77,95
524,5354,10.63,95
525,5364,10.51,95
526,5374,10.41,95
527,5384,10.13,95
528,5394,9.9,95
529,5404,9.71,95
530,5414,9.55,95
531,5424,9.43,95
532,5434,9.33,95
533,5444,9.25,95
534,5454,9.18,95
535,5464,8.92,95
536,5474,8.91,95
537,5484,8.7,95
538,5494,8.53,95
539,5504,8.18,95
540,5514,8.1,95
541,5524,8.04,95
542,5534,7.99,95
543,5544,7.95,95
544,5554,7.92,95
545,5564,7.89,95
546,5574,7.66,95
547,5584,7.48,95
548,5594,7.32,95
549,5604,6.99,95
550,5614,6.72,95
551,5624,6.51,95
552,5634,6.54,95
553,5644,6.56,95
554,5654,6.37,95
555,5664,6.22,95
556,5674,6.09,95
557,5684,5.99,95
558,5694,5.91,95
559,5704,5.64,95
560,5714,5.62,95
561,5724,5.4,95
562,5734,5.22,95
563,5744,5.08,95
564,5754,4.96,95
565,5764,4.86,95
566,5774,4.58,95
567,5784,4.34,95
568,5794,4.36,95
569,5804,4.38,95
570,5814,4.39,95
571,5824,4.19,95
572,5834,4.03,95
573,5844,3.9,95
574,5854,3.79,95
